Nome;Rodada;Custo;Tempo
a280;1;2579;150.158
a280;2;2579;157.354
a280;3;2579;148.058
a280;4;2579;144.334
a280;5;2579;145.091
a280;6;2579;135.706
a280;7;2579;146.777
a280;8;2579;155.583
a280;9;2579;143.274
a280;10;2579;155.374
ali535;1;202435;2795.237
ali535;2;202411;2664.595
ali535;3;202474;2717.259
ali535;4;202649;2593.872
ali535;5;202339;2505.055
ali535;6;202472;2548.134
ali535;7;202546;2732.320
ali535;8;202402;2461.362
ali535;9;202411;2611.004
ali535;10;202339;2722.307
att48;1;10628;0.436
att48;2;10628;0.440
att48;3;10628;0.460
att48;4;10628;0.459
att48;5;10628;0.482
att48;6;10628;0.448
att48;7;10628;0.483
att48;8;10628;0.487
att48;9;10628;0.477
att48;10;10628;0.451
att532;1;27734;2630.217
att532;2;27736;2526.561
att532;3;27757;2416.621
att532;4;27740;2441.644
att532;5;27734;2380.513
att532;6;27730;2466.818
att532;7;27714;2578.079
att532;8;27732;2523.465
att532;9;27757;2426.090
att532;10;27723;2170.766
bayg29;1;1610;0.085
bayg29;2;1610;0.077
bayg29;3;1610;0.092
bayg29;4;1610;0.090
bayg29;5;1610;0.073
bayg29;6;1610;0.079
bayg29;7;1610;0.073
bayg29;8;1610;0.079
bayg29;9;1610;0.073
bayg29;10;1610;0.073
bays29;1;2020;0.079
bays29;2;2020;0.088
bays29;3;2020;0.077
bays29;4;2020;0.081
bays29;5;2020;0.084
bays29;6;2020;0.084
bays29;7;2020;0.079
bays29;8;2020;0.088
bays29;9;2020;0.081
bays29;10;2020;0.082
berlin52;1;7542;0.520
berlin52;2;7542;0.564
berlin52;3;7542;0.504
berlin52;4;7542;0.563
berlin52;5;7542;0.518
berlin52;6;7542;0.517
berlin52;7;7542;0.532
berlin52;8;7542;0.528
berlin52;9;7542;0.554
berlin52;10;7542;0.538
bier127;1;118282;16.626
bier127;2;118282;16.102
bier127;3;118282;14.685
bier127;4;118282;14.996
bier127;5;118282;15.516
bier127;6;118282;15.586
bier127;7;118282;15.610
bier127;8;118282;16.617
bier127;9;118282;17.364
bier127;10;118282;14.654
brazil58;1;25395;0.702
brazil58;2;25395;0.680
brazil58;3;25395;0.676
brazil58;4;25395;0.688
brazil58;5;25395;0.697
brazil58;6;25395;0.702
brazil58;7;25395;0.694
brazil58;8;25395;0.669
brazil58;9;25395;0.677
brazil58;10;25395;0.685
burma14;1;3323;0.053
